Gene1,Gene2,corVal,pValue
DUOXA2,SLC38A11,0.12686879173306,8.61272106756361e-246
HSPA8,HSP90AA1,0.12672069700113,3.22317193206455e-245
HSP90AA1,HSPA8,0.126720697001129,3.22317193209355e-245
SLC22A16,SST,0.12666660090635,5.21758224890282e-245
FLG,KRT31,0.126630451797004,7.19787122952737e-245
RAD51AP2,VAT1L,0.126575146513726,1.17735565197396e-244
VAT1L,RAD51AP2,0.126575146513688,1.17735565238173e-244
SMIM5,SATL1,0.126526999043753,1.80665245536547e-244
RUNX1T1,ACSS3,0.126509830248357,2.10460452654613e-244
ACSS3,RUNX1T1,0.126509830248356,2.10460452657777e-244
ALB,FGA,0.126433855373208,4.13456567029063e-244
FGA,ALB,0.126433855373195,4.1345656707747e-244
PCSK2,AADAC,0.126391408871898,6.02826457331893e-244
ALAS2,CA1,0.126307140309424,1.27391378966146e-243
CA1,ALAS2,0.126307140308895,1.27391379564866e-243
DUOXA2,PRR4,0.126182831789486,3.83776137453962e-243
PCSK2,NNAT,0.126102746353279,7.80503862789823e-243
SPRR2F,IRX4,0.126076886828483,9.81478670596862e-243
DUOXA2,KEL,0.126068056834843,1.06133699915061e-242
C2CD4B,PADI3,0.126042960776339,1.32554436429159e-242
AC113554.1,FER1L5,0.126029278197556,1.49630751421851e-242
KCNH7,ART4,0.125966709813216,2.60375044653906e-242
PRG2,TRIM10,0.125902842492837,4.58189749589625e-242
TRIM10,PRG2,0.125902842492527,4.58189750849098e-242
PADI3,RHAG,0.125898139255317,4.77655879261544e-242
KIR2DL1,KIR2DL3,0.125849965378899,7.31405621212622e-242
KIR2DL3,KIR2DL1,0.125849965378896,7.31405621226117e-242
MT1X,MT1E,0.125781919761535,1.33477328270252e-241
MT1E,MT1X,0.125781919761533,1.33477328272243e-241
NPR1,IGFL1,0.125648366062669,4.34250424400399e-241
KCTD14,ITIH3,0.125515179090253,1.40639641113189e-240
ITIH3,KCTD14,0.125515179090236,1.40639641134332e-240
SPRR2G,GATA2,0.125311454414536,8.46631320645419e-240
LCE3E,CYP26A1,0.125294438873177,9.83440573031688e-240
HBE1,ERFE,0.125250592715359,1.44656764894381e-239
ERFE,HBE1,0.125250592715336,1.44656764923477e-239
DUOXA2,OTX2,0.125244738046689,1.5230428998962e-239
STC1,PRB4,0.125197862897895,2.30040789988445e-239
PRB4,STC1,0.125197862897873,2.30040790032121e-239
SIGLEC6,TPSD1,0.125176354952765,2.77942968954558e-239
TPSD1,SIGLEC6,0.125176354952748,2.77942968995141e-239
CFAP77,KCNH7,0.124943752161831,2.14519525145731e-238
HBA1,ALAS2,0.124769989316086,9.84829337037916e-238
ALAS2,HBA1,0.124769989315775,9.84829339724356e-238
OPRK1,POTEI,0.124723145886613,1.48468305646992e-237
CX3CR1,FGFBP2,0.124710081154519,1.6647235150962e-237
FGFBP2,CX3CR1,0.124710081154517,1.66472351513071e-237
ANKS4B,SST,0.124630027022461,3.35593051336799e-237
